OS: Mac OS X, Memory: 260.0 mb, CPU Cores: 8 

 Insertion Sort Test: 

id		n		ms
1		5000		11
2		15000		43
3		25000		109
4		35000		214
5		45000		337
6		55000		480
7		65000		641
8		75000		857
9		85000		1103
10		95000		1373
11		105000		1702
12		115000		2122
13		125000		2411
14		135000		2823
15		145000		3238
16		155000		3701
17		165000		4198
18		175000		4738
19		185000		5266
20		195000		5875
21		205000		6520
22		215000		7167
23		225000		7880
24		235000		8615
25		245000		9346
26		255000		10099
27		265000		10915
28		275000		11786
29		285000		12621
30		295000		13585
31		305000		14482
32		315000		15495
33		325000		16493
34		335000		17509
35		345000		18552
36		355000		19757
37		365000		20841
38		375000		21985
39		385000		23197
40		395000		23360
41		405000		24615
42		415000		25565
43		425000		26991
44		435000		28280
45		445000		29606
46		455000		30828
47		465000		33801
48		475000		35483
49		485000		36858
50		495000		38484

 Merge Sort Test: 

id		n		ms
1		5000		2
2		15000		2
3		25000		6
4		35000		3
5		45000		3
6		55000		3
7		65000		3
8		75000		7
9		85000		8
10		95000		7
11		105000		5
12		115000		6
13		125000		7
14		135000		13
15		145000		15
16		155000		16
17		165000		18
18		175000		18
19		185000		22
20		195000		10
21		205000		13
22		215000		12
23		225000		12
24		235000		12
25		245000		13
26		255000		13
27		265000		14
28		275000		14
29		285000		15
30		295000		17
31		305000		16
32		315000		16
33		325000		17
34		335000		17
35		345000		19
36		355000		18
37		365000		19
38		375000		21
39		385000		20
40		395000		20
41		405000		21
42		415000		24
43		425000		22
44		435000		23
45		445000		25
46		455000		24
47		465000		23
48		475000		25
49		485000		26
50		495000		26

 Java Sort Test: 

id		n		ms
1		5000		2
2		15000		3
3		25000		2
4		35000		3
5		45000		4
6		55000		6
7		65000		8
8		75000		7
9		85000		9
10		95000		10
11		105000		11
12		115000		13
13		125000		13
14		135000		13
15		145000		12
16		155000		13
17		165000		15
18		175000		16
19		185000		10
20		195000		10
21		205000		11
22		215000		12
23		225000		12
24		235000		13
25		245000		13
26		255000		13
27		265000		14
28		275000		14
29		285000		15
30		295000		16
31		305000		16
32		315000		16
33		325000		17
34		335000		17
35		345000		18
36		355000		18
37		365000		18
38		375000		19
39		385000		20
40		395000		20
41		405000		21
42		415000		21
43		425000		21
44		435000		21
45		445000		22
46		455000		23
47		465000		24
48		475000		23
49		485000		25
50		495000		26

average time and n for Insertion-Sort: 


	12839 ms		250000


average time and n for Merge-Sort: 


	14 ms		250000


average time and n for Java-Sort: 


	14 ms		250000


